id;start_date;end_date;language
1;2020-01-30T15:13:12;2020-01-30T13:03:27;SPANISH
2;2020-01-29T20:03:23;2020-01-30T15:07:48;SPANISH
3;2020-01-30T10:58:42;2020-01-29T21:32:51;FRENCH
4;2020-01-30T02:16:13;2020-01-30T13:47:39;FRENCH
5;2020-01-30T11:46:31;2020-01-30T16:33:30;FRENCH
6;2020-01-30T05:38:52;2020-01-30T17:47:06;FRENCH
7;2020-01-30T07:24:12;2020-01-30T01:15:03;FRENCH
8;2020-01-30T06:20:25;2020-01-30T16:36:33;SPANISH
9;2020-01-30T05:01:34;2020-01-30T01:42:57;SPANISH
10;2020-01-30T13:13:38;2020-01-29T23:48:08;SPANISH
